REACHABLE quiz boards (full focus x discovered enumeration) = 1857
boards containing a dead end: 867/1857
  星問請 (日生門口言靑) stuck=1/2 dupStuck=0 first@n=151 focus=生
  林校李 (木木木交木子) stuck=1/2 dupStuck=1 first@n=226 focus=木
  李好校 (木子女子木交) stuck=2/3 dupStuck=1 first@n=226 focus=子
  李校明 (木子木交日月) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本天校 (木一一大木交) stuck=2/3 dupStuck=1 first@n=226 focus=一
  本校明 (木一木交日月) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好校明 (女子木交日月) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天校明 (一大木交日月) stuck=1/2 dupStuck=0 first@n=226 focus=大
  問校明 (門口木交日月) stuck=1/2 dupStuck=0 first@n=226 focus=口
  李明校 (木子日月木交) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本明校 (木一日月木交) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好明校 (女子日月木交) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天明校 (一大日月木交) stuck=1/2 dupStuck=0 first@n=226 focus=大
  問明校 (門口日月木交) stuck=1/2 dupStuck=0 first@n=226 focus=口
  李星校 (木子日生木交) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本星校 (木一日生木交) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好星校 (女子日生木交) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天星校 (一大日生木交) stuck=1/2 dupStuck=0 first@n=226 focus=大
  問星校 (門口日生木交) stuck=1/2 dupStuck=0 first@n=226 focus=口
  李林校 (木子木木木交) stuck=1/2 dupStuck=1 first@n=226 focus=李
  本林校 (木一木木木交) stuck=1/2 dupStuck=1 first@n=226 focus=本
  好林校 (女子木木木交) stuck=2/3 dupStuck=0 first@n=226 focus=女
  天林校 (一大木木木交) stuck=2/3 dupStuck=0 first@n=226 focus=大
  校李明 (木交木子日月) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校明李 (木交日月木子) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校星李 (木交日生木子) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校林李 (木交木木木子) stuck=1/2 dupStuck=1 first@n=226 focus=交
  明校李 (日月木交木子) stuck=1/2 dupStuck=0 first@n=226 focus=月
  星校李 (日生木交木子) stuck=1/2 dupStuck=0 first@n=226 focus=生
  本校李 (木一木交木子) stuck=3/4 dupStuck=0 first@n=226 focus=本
  好校李 (女子木交木子) stuck=2/3 dupStuck=1 first@n=226 focus=女
  天校李 (一大木交木子) stuck=3/4 dupStuck=0 first@n=226 focus=大
  問校李 (門口木交木子) stuck=1/2 dupStuck=0 first@n=226 focus=口
  間校李 (門日木交木子) stuck=1/2 dupStuck=0 first@n=226 focus=間
  請校李 (言靑木交木子) stuck=1/2 dupStuck=0 first@n=226 focus=言
  校本明 (木交木一日月) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校明本 (木交日月木一) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校星本 (木交日生木一) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校林本 (木交木木木一) stuck=1/2 dupStuck=1 first@n=226 focus=交
  明校本 (日月木交木一) stuck=1/2 dupStuck=0 first@n=226 focus=月
  星校本 (日生木交木一) stuck=1/2 dupStuck=0 first@n=226 focus=生
  林校本 (木木木交木一) stuck=1/2 dupStuck=1 first@n=226 focus=林
  李校本 (木子木交木一) stuck=3/4 dupStuck=0 first@n=226 focus=李
  好校本 (女子木交木一) stuck=3/4 dupStuck=0 first@n=226 focus=女
  天校本 (一大木交木一) stuck=2/3 dupStuck=1 first@n=226 focus=大
  問校本 (門口木交木一) stuck=1/2 dupStuck=0 first@n=226 focus=口
  間校本 (門日木交木一) stuck=1/2 dupStuck=0 first@n=226 focus=間
  請校本 (言靑木交木一) stuck=1/2 dupStuck=0 first@n=226 focus=言
  校李本 (木交木子木一) stuck=3/4 dupStuck=0 first@n=226 focus=交
  校好明 (木交女子日月) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校明好 (木交日月女子) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校星好 (木交日生女子) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校林好 (木交木木女子) stuck=2/3 dupStuck=0 first@n=226 focus=交
  明校好 (日月木交女子) stuck=1/2 dupStuck=0 first@n=226 focus=月
  星校好 (日生木交女子) stuck=1/2 dupStuck=0 first@n=226 focus=生
  林校好 (木木木交女子) stuck=2/3 dupStuck=0 first@n=226 focus=林
  李校好 (木子木交女子) stuck=2/3 dupStuck=1 first@n=226 focus=李
  本校好 (木一木交女子) stuck=3/4 dupStuck=0 first@n=226 focus=本
  天校好 (一大木交女子) stuck=2/3 dupStuck=0 first@n=226 focus=大
  問校好 (門口木交女子) stuck=1/2 dupStuck=0 first@n=226 focus=口
  間校好 (門日木交女子) stuck=1/2 dupStuck=0 first@n=226 focus=間
  請校好 (言靑木交女子) stuck=1/2 dupStuck=0 first@n=226 focus=言
  校李好 (木交木子女子) stuck=2/3 dupStuck=1 first@n=226 focus=交
  校本好 (木交木一女子) stuck=3/4 dupStuck=0 first@n=226 focus=交
  校天明 (木交一大日月) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校明天 (木交日月一大) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校星天 (木交日生一大) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校林天 (木交木木一大) stuck=2/3 dupStuck=0 first@n=226 focus=交
  明校天 (日月木交一大) stuck=1/2 dupStuck=0 first@n=226 focus=月
  星校天 (日生木交一大) stuck=1/2 dupStuck=0 first@n=226 focus=生
  林校天 (木木木交一大) stuck=2/3 dupStuck=0 first@n=226 focus=林
  李校天 (木子木交一大) stuck=3/4 dupStuck=0 first@n=226 focus=李
  本校天 (木一木交一大) stuck=2/3 dupStuck=1 first@n=226 focus=本
  好校天 (女子木交一大) stuck=2/3 dupStuck=0 first@n=226 focus=女
  問校天 (門口木交一大) stuck=1/2 dupStuck=0 first@n=226 focus=口
  間校天 (門日木交一大) stuck=1/2 dupStuck=0 first@n=226 focus=間
  請校天 (言靑木交一大) stuck=1/2 dupStuck=0 first@n=226 focus=言
  校李天 (木交木子一大) stuck=3/4 dupStuck=0 first@n=226 focus=交
  校本天 (木交木一一大) stuck=2/3 dupStuck=1 first@n=226 focus=交
  校好天 (木交女子一大) stuck=2/3 dupStuck=0 first@n=226 focus=交
  校問明 (木交門口日月) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校明問 (木交日月門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校星問 (木交日生門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  明校問 (日月木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=月
  星校問 (日生木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=生
  李校問 (木子木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本校問 (木一木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好校問 (女子木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天校問 (一大木交門口) stuck=1/2 dupStuck=0 first@n=226 focus=大
  校李問 (木交木子門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校本問 (木交木一門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校好問 (木交女子門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校天問 (木交一大門口) stuck=1/2 dupStuck=0 first@n=226 focus=交
  李校間 (木子木交門日) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本校間 (木一木交門日) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好校間 (女子木交門日) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天校間 (一大木交門日) stuck=1/2 dupStuck=0 first@n=226 focus=大
  校李間 (木交木子門日) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校本間 (木交木一門日) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校好間 (木交女子門日) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校天間 (木交一大門日) stuck=1/2 dupStuck=0 first@n=226 focus=交
  李校請 (木子木交言靑) stuck=1/2 dupStuck=0 first@n=226 focus=李
  本校請 (木一木交言靑) stuck=1/2 dupStuck=0 first@n=226 focus=本
  好校請 (女子木交言靑) stuck=1/2 dupStuck=0 first@n=226 focus=女
  天校請 (一大木交言靑) stuck=1/2 dupStuck=0 first@n=226 focus=大
  校李請 (木交木子言靑) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校本請 (木交木一言靑) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校好請 (木交女子言靑) stuck=1/2 dupStuck=0 first@n=226 focus=交
  校天請 (木交一大言靑) stuck=1/2 dupStuck=0 first@n=226 focus=交
  林相校 (木木木目木交) stuck=1/2 dupStuck=1 first@n=227 focus=木
  校相明 (木交木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=交
  李好相 (木子女子木目) stuck=2/3 dupStuck=1 first@n=227 focus=子
  李相明 (木子木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=李
  本天相 (木一一大木目) stuck=2/3 dupStuck=1 first@n=227 focus=一
  本相明 (木一木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=本
  好相明 (女子木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=女
  天相明 (一大木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=大
  問相明 (門口木目日月) stuck=1/2 dupStuck=0 first@n=227 focus=口
  校明相 (木交日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=交
  李明相 (木子日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=李
  本明相 (木一日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=本
  好明相 (女子日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=女
  天明相 (一大日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=大
  問明相 (門口日月木目) stuck=1/2 dupStuck=0 first@n=227 focus=口
  校星相 (木交日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=交
  李星相 (木子日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=李
  本星相 (木一日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=本
  好星相 (女子日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=女
  天星相 (一大日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=大
  問星相 (門口日生木目) stuck=1/2 dupStuck=0 first@n=227 focus=口
  校林相 (木交木木木目) stuck=1/2 dupStuck=1 first@n=227 focus=交
  李林相 (木子木木木目) stuck=1/2 dupStuck=1 first@n=227 focus=李
